race_id,season,round,race_date,circuit_id
286,1993,14,1993-09-26,27
287,1993,15,1993-10-24,22
288,1993,16,1993-11-07,29
289,1992,1,1992-03-01,30
290,1992,2,1992-03-22,32
291,1992,3,1992-04-05,18
292,1992,4,1992-05-03,4
293,1992,5,1992-05-17,21
294,1992,6,1992-05-31,6
295,1992,7,1992-06-14,7
296,1992,8,1992-07-05,8
297,1992,9,1992-07-12,9
298,1992,10,1992-07-26,10
299,1992,11,1992-08-16,11
300,1992,12,1992-08-30,13
301,1992,13,1992-09-13,14
302,1992,14,1992-09-27,27
303,1992,15,1992-10-25,22
304,1992,16,1992-11-08,29
305,1991,1,1991-03-10,33
306,1991,2,1991-03-24,18
307,1991,3,1991-04-28,21
308,1991,4,1991-05-12,6
309,1991,5,1991-06-02,7
310,1991,6,1991-06-16,32
311,1991,7,1991-07-07,8
312,1991,8,1991-07-14,9
313,1991,9,1991-07-28,10
314,1991,10,1991-08-11,11
315,1991,11,1991-08-25,13
316,1991,12,1991-09-08,14
317,1991,13,1991-09-22,27
318,1991,14,1991-09-29,4
319,1991,15,1991-10-20,22
320,1991,16,1991-11-03,29
321,1990,1,1990-03-11,33
322,1990,2,1990-03-25,18
323,1990,3,1990-05-13,21
324,1990,4,1990-05-27,6
325,1990,5,1990-06-10,7
326,1990,6,1990-06-24,32
327,1990,7,1990-07-08,34
328,1990,8,1990-07-15,9
329,1990,9,1990-07-29,10
330,1990,10,1990-08-12,11
331,1990,11,1990-08-26,13
332,1990,12,1990-09-09,14
333,1990,13,1990-09-23,27
334,1990,14,1990-09-30,26
335,1990,15,1990-10-21,22
336,1990,16,1990-11-04,29
337,2010,1,2010-03-14,3
338,2010,2,2010-03-28,1
339,2010,3,2010-04-04,2
340,2010,4,2010-04-18,17
341,2010,5,2010-05-09,4
342,2010,6,2010-05-16,6
343,2010,7,2010-05-30,5
344,2010,8,2010-06-13,7
345,2010,9,2010-06-27,12
346,2010,10,2010-07-11,9
347,2010,11,2010-07-25,10
348,2010,12,2010-08-01,11
349,2010,13,2010-08-29,13
350,2010,14,2010-09-12,14
351,2010,15,2010-09-26,15
352,2010,16,2010-10-10,22
353,2010,17,2010-10-24,35
354,2010,18,2010-11-07,18
355,2010,19,2010-11-14,24
356,1989,1,1989-03-26,36
357,1989,2,1989-04-23,21
358,1989,3,1989-05-07,6
359,1989,4,1989-05-28,32
360,1989,5,1989-06-04,33
361,1989,6,1989-06-18,7
362,1989,7,1989-07-09,34
363,1989,8,1989-07-16,9
364,1989,9,1989-07-30,10
365,1989,10,1989-08-13,11
366,1989,11,1989-08-27,13
367,1989,12,1989-09-10,14
368,1989,13,1989-09-24,27
369,1989,14,1989-10-01,26
370,1989,15,1989-10-22,22
371,1989,16,1989-11-05,29
372,1988,1,1988-04-03,36
373,1988,2,1988-05-01,21
374,1988,3,1988-05-15,6
375,1988,4,1988-05-29,32
376,1988,5,1988-06-12,7
377,1988,6,1988-06-19,37
378,1988,7,1988-07-03,34
379,1988,8,1988-07-10,9
380,1988,9,1988-07-24,10
381,1988,10,1988-08-07,11
382,1988,11,1988-08-28,13
383,1988,12,1988-09-11,14
384,1988,13,1988-09-25,27
385,1988,14,1988-10-02,26
386,1988,15,1988-10-30,22
387,1988,16,1988-11-13,29
388,1987,1,1987-04-12,36
389,1987,2,1987-05-03,21
390,1987,3,1987-05-17,13
391,1987,4,1987-05-31,6
392,1987,5,1987-06-21,37
393,1987,6,1987-07-05,34
394,1987,7,1987-07-12,9
395,1987,8,1987-07-26,10
396,1987,9,1987-08-09,11
397,1987,10,1987-08-16,70
398,1987,11,1987-09-06,14
399,1987,12,1987-09-20,27
400,1987,13,1987-09-27,26
401,1987,14,1987-10-18,32
402,1987,15,1987-11-01,22
403,1987,16,1987-11-15,29
404,1986,1,1986-03-23,36
405,1986,2,1986-04-13,26
406,1986,3,1986-04-27,21
407,1986,4,1986-05-11,6
408,1986,5,1986-05-25,13
409,1986,6,1986-06-15,7
410,1986,7,1986-06-22,37
411,1986,8,1986-07-06,34
412,1986,9,1986-07-13,38
413,1986,10,1986-07-27,10
414,1986,11,1986-08-10,11
415,1986,12,1986-08-17,70
416,1986,13,1986-09-07,14
417,1986,14,1986-09-21,27
418,1986,15,1986-10-12,32
419,1986,16,1986-10-26,29
420,1985,1,1985-04-07,36
421,1985,2,1985-04-21,27
422,1985,3,1985-05-05,21
423,1985,4,1985-05-19,6
424,1985,5,1985-06-16,7
425,1985,6,1985-06-23,37
426,1985,7,1985-07-07,34
427,1985,8,1985-07-21,9
