race_id,driver_id,constructor_id,position_order,status_id
49,1,1,4,1
49,2,2,5,1
49,3,3,6,1
49,17,9,7,1
49,5,4,8,1
49,9,2,9,1
49,23,7,10,1
49,15,7,11,1
49,24,5,12,11
49,22,11,13,11
49,16,12,14,11
49,11,8,15,11
49,19,8,16,11
49,29,12,17,11
49,18,11,18,9
49,25,3,19,32
49,14,9,20,9
49,20,5,21,38
49,21,4,22,22
50,1,1,1,1
50,5,4,2,1
50,8,6,3,1
50,14,9,4,1
50,21,4,5,1
50,13,6,6,1
50,9,2,7,1
50,16,12,8,1
50,24,5,9,1
50,22,11,10,1
50,18,11,11,22
50,29,12,12,11
50,15,7,13,11
50,2,2,14,39
50,11,8,15,4
50,23,7,16,29
50,19,8,17,37
50,3,3,18,40
50,20,5,19,4
50,17,9,20,4
50,4,1,21,3
50,25,3,22,4
51,8,6,1,1
51,4,1,2,1
51,13,6,3,1
51,20,5,4,1
51,18,11,5,1
51,24,5,6,1
51,2,2,7,1
51,14,9,8,1
51,5,4,9,1
51,17,9,10,1
51,21,4,11,1
51,25,3,12,11
51,15,7,13,11
51,11,8,14,11
51,22,11,15,11
51,3,3,16,12
51,29,12,17,13
51,9,2,18,9
51,1,1,19,20
51,23,7,20,20
51,16,12,21,3
51,19,8,22,23
52,8,6,1,1
52,13,6,2,1
52,4,1,3,1
52,3,3,4,1
52,9,2,5,1
52,2,2,6,1
52,1,1,7,11
52,15,7,8,11
52,14,9,9,11
52,6,3,10,11
52,23,7,11,11
52,11,8,12,12
52,24,5,13,12
52,19,8,14,13
52,16,12,15,23
52,22,11,16,5
52,5,4,17,3
52,20,5,18,9
52,18,11,19,5
52,17,9,20,6
52,29,12,21,4
52,21,4,22,4
53,4,4,1,1
53,30,6,2,1
53,8,1,3,1
53,18,11,4,1
53,31,1,5,1
53,17,3,6,1
53,3,3,7,1
53,32,9,8,1
53,13,6,9,1
53,14,9,10,1
53,24,5,11,1
53,2,2,12,11
53,26,5,13,11
53,23,7,14,11
53,22,11,15,11
53,15,7,16,11
53,33,13,17,12
53,11,8,18,14
53,34,8,19,26
53,35,2,20,5
53,21,4,21,9
53,27,13,22,30
54,21,4,1,1
54,4,4,2,1
54,18,11,3,1
54,31,1,4,1
54,13,6,5,1
54,30,6,6,1
54,35,2,7,1
54,23,7,8,1
54,15,7,9,11
54,22,11,10,11
54,24,5,11,12
54,27,13,12,12
54,33,13,13,12
54,11,8,14,13
54,2,2,15,5
54,26,5,16,8
54,34,8,17,26
54,32,9,18,9
54,17,3,19,9
54,14,9,20,9
54,3,3,21,5
54,8,1,22,3
55,4,4,1,1
55,8,1,2,1
55,23,7,3,1
55,2,2,4,1
55,21,4,5,1
55,35,2,6,1
55,22,11,7,1
55,14,9,8,1
